"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.648799219E1,6.627150536E0,2.873042107E0,-2.375048161E0
2.649300000E1,6.703764915E0,3.026270866E0,-1.991975784E0
2.649800469E1,6.665457726E0,3.064578056E0,-1.493981838E0
2.650301094E1,6.435614109E0,3.064578056E0,-9.576807022E-1
2.650798438E1,6.282385349E0,3.026270866E0,-2.681505978E-1
2.651298906E1,6.205770969E0,3.064578056E0,4.979939461E-1
2.651799531E1,5.937620163E0,3.332728863E0,1.417367458E0
2.652300000E1,5.784391403E0,3.830722809E0,2.336740971E0
2.652800625E1,5.363011837E0,4.481945515E0,3.102885485E0
2.653301250E1,4.865017891E0,5.133168221E0,3.830722809E0
2.653798594E1,4.443638325E0,5.975927353E0,4.711789131E0
2.654299062E1,3.830722809E0,6.971915245E0,5.631162167E0
2.654799688E1,3.141192675E0,8.274360657E0,6.856993675E0
2.655300312E1,2.336740971E0,9.232041359E0,8.465897560E0
2.655800781E1,1.685518026E0,1.015141487E1,1.041956615E1
2.656298281E1,1.417367458E0,1.099417400E1,1.279461384E1
2.656798906E1,1.570596337E0,1.176031876E1,1.493981838E1
2.657299375E1,2.375048161E0,1.264138508E1,1.670195198E1
2.657800000E1,3.715801001E0,1.348414421E1,1.746809578E1
2.658300469E1,5.631162167E0,1.451843929E1,1.758301735E1
2.658801094E1,7.278373241E0,1.539950562E1,1.670195198E1
2.659298594E1,8.274360657E0,1.620395660E1,1.509304714E1
2.659799062E1,8.427590370E0,1.643379974E1,1.260307789E1
2.660299531E1,7.623138428E0,1.631887817E1,9.959878922E0
2.660800156E1,6.129156113E0,1.593580627E1,8.274360657E0
2.661300625E1,3.983951569E0,1.562934875E1,7.623138428E0
2.661801250E1,1.685518026E0,1.547612000E1,8.121131897E0
2.662298594E1,-9.193734527E-1,1.539950562E1,9.232041359E0
2.662799219E1,-3.332728863E0,1.501643276E1,1.130063248E1
2.663299844E1,-5.516240597E0,1.455674648E1,1.356075859E1
2.663800312E1,-7.240066051E0,1.390552330E1,1.597411346E1
2.664300938E1,-8.274360657E0,1.302445698E1,1.800439644E1
2.664798281E1,-8.465897560E0,1.172201157E1,1.938345718E1
2.665298906E1,-7.967903137E0,1.041956615E1,2.011129379E1
2.665799375E1,-7.086836815E0,8.963891029E0,1.984314346E1
2.666300000E1,-5.822698593E0,7.163451672E0,1.880884933E1
2.666800469E1,-4.443638325E0,5.439626217E0,1.708502388E1
2.667301094E1,-3.064578056E0,3.830722809E0,1.497812557E1
2.667798594E1,-3.064578056E0,3.830722809E0,1.252646351E1
2.668299063E1,-1.800439715E0,2.451662540E0,1.264138508E1
2.668799688E1,-9.193734527E-1,1.264138460E0,1.038125896E1
2.669300156E1,-4.213795066E-1,3.447650373E-1,8.159439087E0
2.669800781E1,0.000000000E0,-4.213795066E-1,6.129156113E0
2.670298125E1,-3.830722719E-2,-1.225831270E0,4.443638325E0
2.670798750E1,-2.681505978E-1,-1.953668594E0,3.141192675E0
2.671299375E1,-5.746083856E-1,-2.604891539E0,2.145204782E0
2.671799844E1,-1.149216771E0,-3.217807055E0,1.455674648E0
2.672300469E1,-1.915361404E0,-3.600879431E0,1.455674648E0
2.672800938E1,-2.796427488E0,-4.022258759E0,1.762132406E0
2.673298281E1,-3.830722809E0,-4.367023945E0,2.413355350E0
2.673798906E1,-4.788403511E0,-4.711789131E0,3.371036053E0
2.674299531E1,-5.746084213E0,-5.094861031E0,4.520252705E0
2.674800000E1,-6.550535679E0,-5.477933407E0,5.631162167E0
2.675300625E1,-6.971915245E0,-6.052541733E0,6.627150536E0
2.675801094E1,-7.278373241E0,-6.703764915E0,7.393294811E0
2.676298594E1,-7.431602001E0,-7.316680431E0,8.044517517E0
2.676799219E1,-7.393294811E0,-7.814674377E0,8.465897560E0
2.677299688E1,-7.163451672E0,-8.159439087E0,8.427590370E0
2.677800312E1,-6.856993675E0,-8.274360657E0,8.197746277E0
2.678300781E1,-6.512228489E0,-8.197746277E0,7.431602001E0
2.678798281E1,-6.205770969E0,-7.776367188E0,6.320692539E0
2.679298750E1,-5.899312973E0,-7.316680431E0,4.903325081E0
2.679799375E1,-5.439626217E0,-6.665457726E0,3.409343243E0
2.680299844E1,-4.941632271E0,-5.937620163E0,1.915361404E0
2.680800469E1,-4.137180328E0,-5.401319027E0,4.596867263E-1
2.681301094E1,-3.371036053E0,-4.941632271E0,-9.959878922E-1
2.681798438E1,-2.413355350E0,-4.558559895E0,-2.260126352E0
2.682299063E1,-1.493981838E0,-4.367023945E0,-3.102885485E0
2.682799531E1,-8.427590132E-1,-4.060565948E0,-3.217807055E0
2.683300156E1,-3.447650373E-1,-3.983951569E0,-2.604891539E0
2.683800625E1,-7.661445439E-2,-3.792415380E0,-1.264138460E0
2.684301094E1,-2.298433632E-1,-3.869029999E0,1.532289088E-1
2.684798750E1,-7.661445141E-1,-4.022258759E0,1.915361404E0
2.685299219E1,-1.379060149E0,-3.754108191E0,3.600879431E0
2.685799688E1,-2.221819162E0,-3.294421434E0,5.248090267E0
2.686300313E1,-3.256114244E0,-2.413355350E0,6.742072105E0
2.686800781E1,-4.443638325E0,-1.225831270E0,8.044517517E0
2.687298281E1,-5.707777023E0,3.830722719E-2,9.308655739E0
2.687798906E1,-7.048529625E0,1.532289028E0,1.095586681E1
2.688299375E1,-8.121131897E0,3.217807055E0,1.271799946E1
2.688800000E1,-8.925583839E0,4.979939461E0,1.474828243E1
2.689300469E1,-9.500192642E0,7.163451672E0,1.693179512E1
2.689801094E1,-9.653421402E0,9.308655739E0,1.877054214E1
2.690298594E1,-9.538499832E0,1.149216843E1,2.014960098E1
2.690799062E1,-9.117119789E0,1.317768574E1,2.064759636E1
2.691299531E1,-8.504204750E0,1.440351772E1,2.003467941E1
2.691800156E1,-7.891288757E0,1.490151119E1,1.873223495E1
2.692300781E1,-7.240066051E0,1.482489681E1,1.697010231E1
2.692798125E1,-6.627150536E0,1.467166805E1,1.528458405E1
2.693298594E1,-6.014234543E0,1.436521053E1,1.359906578E1
2.693799219E1,-5.554547787E0,1.398213768E1,1.206677628E1
2.694299844E1,-5.324704647E0,1.367568016E1,1.080263805E1
2.694800313E1,-5.554547787E0,1.313937855E1,1.022802925E1
2.695300938E1,-6.473921299E0,1.260307789E1,1.057279491E1
2.695798281E1,-7.929595947E0,1.233492756E1,1.222000504E1
2.696298906E1,-9.385271072E0,1.214339066E1,1.444182491E1
2.696799375E1,-1.053448772E1,1.206677628E1,1.666364288E1
2.697300000E1,-1.114740276E1,1.179862595E1,1.846408272E1
2.697800469E1,-1.130063248E1,1.137724686E1,1.946007156E1
2.698301094E1,-1.087925243E1,1.072602367E1,1.968991470E1
2.698798594E1,-1.011310768E1,1.007480049E1,1.907699966E1
2.699299062E1,-9.078812599E0,9.346963882E0,1.785116768E1
2.699799531E1,-7.929595947E0,8.465897560E0,1.612734222E1
2.700300156E1,-6.780379295E0,7.661445618E0,1.421198082E1
2.700800781E1,-5.937620163E0,6.933608055E0,1.229662037E1
2.701298125E1,-5.248090267E0,6.090848923E0,1.061110210E1
2.701798750E1,-4.788403511E0,5.554547787E0,9.193734169E0
2.702299375E1,-4.558559895E0,5.133168221E0,7.891288757E0
2.702799844E1,-4.405331135E0,4.750096321E0,6.971915245E0
2.703300469E1,-4.290409565E0,4.405331135E0,6.320692539E0
2.703800938E1,-4.290409565E0,4.290409565E0,5.784391403E0
2.704298438E1,-4.290409565E0,4.213795185E0,5.592854977E0
2.704798906E1,-4.367023945E0,4.098873138E0,5.401319027E0
2.705299531E1,-4.367023945E0,3.983951569E0,5.439626217E0
2.705800000E1,-4.290409565E0,3.371036053E0,5.439626217E0
2.706300625E1,-4.137180328E0,3.754108191E0,5.477933407E0
2.706801250E1,-3.907337189E0,3.485957623E0,5.746084213E0
2.707298594E1,-3.600879431E0,3.217807055E0,6.014234543E0
2.707799062E1,-3.141192675E0,2.949656487E0,6.129156113E0
2.708299688E1,-2.528276920E0,2.566584110E0,6.282385349E0
2.708800312E1,-1.762132406E0,2.183511972E0,6.320692539E0
2.709300781E1,-8.427590132E-1,1.953668594E0,6.014234543E0
2.709798281E1,-3.830722719E-2,1.762132406E0,5.439626217E0
2.710298750E1,8.044517636E-1,1.723825216E0,4.903325081E0
2.710799375E1,1.570596337E0,1.723825216E0,3.945644379E0
2.711299844E1,2.451662540E0,1.877054095E0,3.141192675E0
2.711800469E1,3.332728863E0,2.106897593E0,2.298433542E0
2.712301094E1,4.213795185E0,2.528276920E0,1.455674648E0
2.712798438E1,5.209783077E0,3.294421434E0,7.278373241E-1
2.713299062E1,6.358999729E0,4.137180328E0,2.298433632E-1
2.713799531E1,7.469909191E0,5.324704647E0,3.830722719E-2
2.714300156E1,8.695740700E0,6.358999729E0,7.661445439E-2
2.714800781E1,9.844957352E0,7.661445618E0,2.681505978E-1
2.715301250E1,1.099417400E1,8.810662270E0,4.979939461E-1
2.715798594E1,1.172201157E1,9.844957352E0,8.810662031E-1
2.716299219E1,1.225831223E1,1.057279491E1,1.455674648E0
2.716799688E1,1.267969227E1,1.072602367E1,2.336740971E0
2.717300312E1,1.283292103E1,1.038125896E1,3.639186621E0
2.717800938E1,1.283292103E1,9.615114212E0,5.363011837E0
2.718298281E1,1.279461384E1,8.389283180E0,7.431602001E0
2.718798750E1,1.252646351E1,6.665457726E0,1.022802925E1
2.719299375E1,1.210508347E1,4.520252705E0,1.340752983E1
2.719800000E1,1.172201157E1,2.221819162E0,1.708502388E1
2.720300469E1,1.130063248E1,1.532289088E-1,2.152866173E1
2.720801094E1,1.095586681E1,-1.608903527E0,2.635537148E1
2.721298438E1,1.061110210E1,-2.987963676E0,3.141192627E1
2.721799063E1,1.018972206E1,-3.715801001E0,3.608540726E1
2.722299531E1,9.615114212E0,-4.098873138E0,3.945644379E1
2.722800156E1,8.734047890E0,-4.405331135E0,4.052904510E1
2.723300781E1,7.354987621E0,-4.826710701E0,3.964797974E1
2.723798125E1,5.669469833E0,-4.865017891E0,3.666001511E1
